(0,0,NORMAL,false);(0,1,NORMAL,false);(0,2,NORMAL,false);(0,3,NORMAL,false);(0,4,NORMAL,false);(0,5,NORMAL,false);(0,6,NORMAL,false);(0,7,NORMAL,false);(0,8,NORMAL,false);(0,9,NORMAL,false);(0,10,NORMAL,false);(0,11,NORMAL,false);(0,12,NORMAL,false);(0,13,NORMAL,false);(0,14,NORMAL,false);(0,15,NORMAL,false);(0,16,NORMAL,false);(0,17,NORMAL,false);(0,18,NORMAL,false);(0,19,NORMAL,false);(0,20,NORMAL,false);(0,21,NORMAL,false);(0,22,NORMAL,false);(0,23,NORMAL,false);(0,24,NORMAL,false);(0,25,NORMAL,false);(0,26,NORMAL,false);(0,27,NORMAL,false);(0,28,NORMAL,false);(0,29,NORMAL,false);(0,30,NORMAL,false)
(11,0,NORMAL,false);(11,1,NORMAL,false);(11,2,NORMAL,false);(11,3,NORMAL,false);(11,4,NORMAL,false);(11,5,NORMAL,false);(11,6,NORMAL,false);(11,7,NORMAL,false);(11,8,NORMAL,false);(11,9,NORMAL,false);(11,10,NORMAL,false);(11,11,NORMAL,false);(11,12,NORMAL,false);(11,13,NORMAL,false);(11,14,NORMAL,false);(11,15,NORMAL,false);(11,16,NORMAL,false);(11,17,NORMAL,false);(11,18,NORMAL,false);(11,19,NORMAL,false);(11,20,NORMAL,false);(11,21,NORMAL,false);(11,22,NORMAL,false);(11,23,NORMAL,false);(11,24,NORMAL,false);(11,25,NORMAL,false);(11,26,NORMAL,false);(11,27,NORMAL,false);(11,28,NORMAL,false);(11,29,NORMAL,false);(11,30,NORMAL,false)
(12,0,NORMAL,false);(12,1,NORMAL,false);(12,2,NORMAL,false);(12,3,NORMAL,false);(12,4,NORMAL,false);(12,5,NORMAL,false);(12,6,NORMAL,false);(12,7,NORMAL,false);(12,8,NORMAL,false);(12,9,NORMAL,false);(12,10,NORMAL,false);(12,11,NORMAL,false);(12,12,NORMAL,false);(12,13,NORMAL,false);(12,14,NORMAL,false);(12,15,NORMAL,false);(12,16,NORMAL,true);(12,17,NORMAL,false);(12,18,NORMAL,false);(12,19,NORMAL,false);(12,20,NORMAL,true);(12,21,NORMAL,true);(12,22,NORMAL,false);(12,23,NORMAL,false);(12,24,NORMAL,false);(12,25,NORMAL,false);(12,26,NORMAL,false);(12,27,NORMAL,false);(12,28,NORMAL,false);(12,29,NORMAL,false);(12,30,NORMAL,false)
(13,0,NORMAL,false);(13,1,NORMAL,false);(13,2,NORMAL,false);(13,3,NORMAL,false);(13,4,NORMAL,false);(13,5,NORMAL,false);(13,6,NORMAL,false);(13,7,NORMAL,false);(13,8,NORMAL,false);(13,9,NORMAL,false);(13,10,NORMAL,false);(13,11,NORMAL,false);(13,12,NORMAL,false);(13,13,NORMAL,false);(13,14,NORMAL,false);(13,15,NORMAL,false);(13,16,NORMAL,false);(13,17,NORMAL,false);(13,18,NORMAL,false);(13,19,NORMAL,false);(13,20,NORMAL,false);(13,21,NORMAL,false);(13,22,NORMAL,true);(13,23,NORMAL,false);(13,24,NORMAL,false);(13,25,NORMAL,false);(13,26,NORMAL,false);(13,27,NORMAL,false);(13,28,NORMAL,false);(13,29,NORMAL,false);(13,30,NORMAL,false)
(14,0,NORMAL,false);(14,1,NORMAL,false);(14,2,NORMAL,false);(14,3,NORMAL,false);(14,4,NORMAL,false);(14,5,NORMAL,false);(14,6,NORMAL,false);(14,7,NORMAL,false);(14,8,NORMAL,false);(14,9,NORMAL,false);(14,10,NORMAL,false);(14,11,NORMAL,false);(14,12,NORMAL,false);(14,13,NORMAL,false);(14,14,NORMAL,false);(14,15,NORMAL,false);(14,16,NORMAL,false);(14,17,NORMAL,false);(14,18,NORMAL,false);(14,19,NORMAL,false);(14,20,NORMAL,false);(14,21,NORMAL,false);(14,22,NORMAL,false);(14,23,NORMAL,true);(14,24,NORMAL,false);(14,25,NORMAL,false);(14,26,NORMAL,false);(14,27,NORMAL,false);(14,28,NORMAL,false);(14,29,NORMAL,false);(14,30,NORMAL,false)
(15,0,NORMAL,false);(15,1,NORMAL,false);(15,2,NORMAL,false);(15,3,NORMAL,false);(15,4,NORMAL,false);(15,5,NORMAL,false);(15,6,NORMAL,false);(15,7,NORMAL,false);(15,8,NORMAL,false);(15,9,NORMAL,false);(15,10,NORMAL,false);(15,11,NORMAL,false);(15,12,NORMAL,false);(15,13,NORMAL,false);(15,14,NORMAL,false);(15,15,NORMAL,true);(15,16,NORMAL,false);(15,17,NORMAL,false);(15,18,NORMAL,false);(15,19,NORMAL,false);(15,20,NORMAL,false);(15,21,NORMAL,false);(15,22,NORMAL,false);(15,23,NORMAL,true);(15,24,NORMAL,false);(15,25,NORMAL,false);(15,26,NORMAL,false);(15,27,NORMAL,false);(15,28,NORMAL,false);(15,29,NORMAL,false);(15,30,NORMAL,false)
(16,0,NORMAL,false);(16,1,NORMAL,false);(16,2,NORMAL,false);(16,3,NORMAL,false);(16,4,NORMAL,false);(16,5,NORMAL,false);(16,6,NORMAL,false);(16,7,NORMAL,false);(16,8,NORMAL,false);(16,9,NORMAL,false);(16,10,NORMAL,false);(16,11,NORMAL,false);(16,12,NORMAL,false);(16,13,NORMAL,false);(16,14,NORMAL,true);(16,15,NORMAL,false);(16,16,NORMAL,false);(16,17,NORMAL,false);(16,18,NORMAL,false);(16,19,NORMAL,false);(16,20,NORMAL,false);(16,21,NORMAL,false);(16,22,NORMAL,false);(16,23,NORMAL,true);(16,24,NORMAL,false);(16,25,NORMAL,false);(16,26,NORMAL,false);(16,27,NORMAL,false);(16,28,NORMAL,false);(16,29,NORMAL,false);(16,30,NORMAL,false)
(17,0,NORMAL,false);(17,1,NORMAL,false);(17,2,NORMAL,false);(17,3,NORMAL,false);(17,4,NORMAL,false);(17,5,NORMAL,false);(17,6,NORMAL,false);(17,7,NORMAL,false);(17,8,NORMAL,false);(17,9,NORMAL,false);(17,10,NORMAL,false);(17,11,NORMAL,false);(17,12,NORMAL,false);(17,13,NORMAL,false);(17,14,NORMAL,false);(17,15,NORMAL,false);(17,16,NORMAL,false);(17,17,NORMAL,false);(17,18,NORMAL,false);(17,19,NORMAL,false);(17,20,NORMAL,false);(17,21,NORMAL,false);(17,22,NORMAL,true);(17,23,NORMAL,false);(17,24,NORMAL,false);(17,25,NORMAL,false);(17,26,NORMAL,false);(17,27,NORMAL,false);(17,28,NORMAL,false);(17,29,NORMAL,false);(17,30,NORMAL,false)
(18,0,NORMAL,false);(18,1,NORMAL,false);(18,2,NORMAL,false);(18,3,NORMAL,false);(18,4,NORMAL,false);(18,5,NORMAL,false);(18,6,NORMAL,false);(18,7,NORMAL,false);(18,8,NORMAL,false);(18,9,NORMAL,false);(18,10,NORMAL,false);(18,11,NORMAL,false);(18,12,NORMAL,false);(18,13,NORMAL,false);(18,14,NORMAL,true);(18,15,NORMAL,false);(18,16,NORMAL,false);(18,17,NORMAL,false);(18,18,NORMAL,false);(18,19,NORMAL,false);(18,20,NORMAL,false);(18,21,NORMAL,false);(18,22,NORMAL,false);(18,23,NORMAL,false);(18,24,NORMAL,false);(18,25,NORMAL,false);(18,26,NORMAL,false);(18,27,NORMAL,false);(18,28,NORMAL,false);(18,29,NORMAL,false);(18,30,NORMAL,false)
(19,0,NORMAL,false);(19,1,NORMAL,false);(19,2,NORMAL,false);(19,3,NORMAL,false);(19,4,NORMAL,false);(19,5,NORMAL,false);(19,6,NORMAL,false);(19,7,NORMAL,false);(19,8,NORMAL,false);(19,9,NORMAL,false);(19,10,NORMAL,false);(19,11,NORMAL,false);(19,12,NORMAL,false);(19,13,NORMAL,false);(19,14,NORMAL,false);(19,15,NORMAL,false);(19,16,NORMAL,false);(19,17,NORMAL,false);(19,18,NORMAL,false);(19,19,NORMAL,false);(19,20,NORMAL,false);(19,21,NORMAL,false);(19,22,NORMAL,true);(19,23,NORMAL,false);(19,24,NORMAL,false);(19,25,NORMAL,false);(19,26,NORMAL,false);(19,27,NORMAL,false);(19,28,NORMAL,false);(19,29,NORMAL,false);(19,30,NORMAL,false)
(20,0,NORMAL,false);(20,1,NORMAL,false);(20,2,NORMAL,false);(20,3,NORMAL,false);(20,4,NORMAL,false);(20,5,NORMAL,false);(20,6,NORMAL,false);(20,7,NORMAL,false);(20,8,NORMAL,false);(20,9,NORMAL,false);(20,10,NORMAL,false);(20,11,NORMAL,false);(20,12,NORMAL,false);(20,13,NORMAL,false);(20,14,NORMAL,false);(20,15,NORMAL,false);(20,16,NORMAL,false);(20,17,NORMAL,false);(20,18,NORMAL,false);(20,19,NORMAL,false);(20,20,NORMAL,false);(20,21,NORMAL,true);(20,22,NORMAL,true);(20,23,NORMAL,false);(20,24,NORMAL,false);(20,25,NORMAL,false);(20,26,NORMAL,false);(20,27,NORMAL,false);(20,28,NORMAL,false);(20,29,NORMAL,false);(20,30,NORMAL,false)
(21,0,NORMAL,false);(21,1,NORMAL,false);(21,2,NORMAL,false);(21,3,NORMAL,false);(21,4,NORMAL,false);(21,5,NORMAL,false);(21,6,NORMAL,false);(21,7,NORMAL,false);(21,8,NORMAL,false);(21,9,NORMAL,false);(21,10,NORMAL,false);(21,11,NORMAL,false);(21,12,NORMAL,false);(21,13,NORMAL,false);(21,14,NORMAL,false);(21,15,NORMAL,false);(21,16,NORMAL,false);(21,17,NORMAL,false);(21,18,NORMAL,false);(21,19,NORMAL,false);(21,20,NORMAL,false);(21,21,NORMAL,false);(21,22,NORMAL,false);(21,23,NORMAL,false);(21,24,NORMAL,false);(21,25,NORMAL,false);(21,26,NORMAL,false);(21,27,NORMAL,false);(21,28,NORMAL,false);(21,29,NORMAL,false);(21,30,NORMAL,false)
(22,0,NORMAL,false);(22,1,NORMAL,false);(22,2,NORMAL,false);(22,3,NORMAL,false);(22,4,NORMAL,false);(22,5,NORMAL,false);(22,6,NORMAL,false);(22,7,NORMAL,false);(22,8,NORMAL,false);(22,9,NORMAL,false);(22,10,NORMAL,false);(22,11,NORMAL,true);(22,12,NORMAL,true);(22,13,NORMAL,false);(22,14,NORMAL,false);(22,15,NORMAL,false);(22,16,NORMAL,false);(22,17,NORMAL,false);(22,18,NORMAL,false);(22,19,NORMAL,false);(22,20,NORMAL,false);(22,21,NORMAL,false);(22,22,NORMAL,false);(22,23,NORMAL,false);(22,24,NORMAL,false);(22,25,NORMAL,false);(22,26,NORMAL,false);(22,27,NORMAL,false);(22,28,NORMAL,false);(22,29,NORMAL,false);(22,30,NORMAL,false)
(23,0,NORMAL,false);(23,1,NORMAL,false);(23,2,NORMAL,false);(23,3,NORMAL,false);(23,4,NORMAL,false);(23,5,NORMAL,false);(23,6,NORMAL,false);(23,7,NORMAL,false);(23,8,NORMAL,false);(23,9,NORMAL,false);(23,10,NORMAL,false);(23,11,NORMAL,false);(23,12,NORMAL,false);(23,13,NORMAL,false);(23,14,NORMAL,false);(23,15,NORMAL,false);(23,16,NORMAL,false);(23,17,NORMAL,false);(23,18,NORMAL,false);(23,19,NORMAL,false);(23,20,NORMAL,false);(23,21,NORMAL,false);(23,22,NORMAL,false);(23,23,NORMAL,false);(23,24,NORMAL,false);(23,25,NORMAL,false);(23,26,NORMAL,false);(23,27,NORMAL,false);(23,28,NORMAL,false);(23,29,NORMAL,false);(23,30,NORMAL,false)
(24,0,NORMAL,false);(24,1,NORMAL,false);(24,2,NORMAL,false);(24,3,NORMAL,false);(24,4,NORMAL,false);(24,5,NORMAL,false);(24,6,NORMAL,false);(24,7,NORMAL,false);(24,8,NORMAL,false);(24,9,NORMAL,false);(24,10,NORMAL,false);(24,11,NORMAL,false);(24,12,NORMAL,false);(24,13,NORMAL,false);(24,14,NORMAL,false);(24,15,NORMAL,false);(24,16,NORMAL,false);(24,17,NORMAL,false);(24,18,NORMAL,false);(24,19,NORMAL,false);(24,20,NORMAL,false);(24,21,NORMAL,false);(24,22,NORMAL,false);(24,23,NORMAL,false);(24,24,NORMAL,false);(24,25,NORMAL,false);(24,26,NORMAL,false);(24,27,NORMAL,false);(24,28,NORMAL,false);(24,29,NORMAL,false);(24,30,NORMAL,false)
(25,0,NORMAL,false);(25,1,NORMAL,false);(25,2,NORMAL,false);(25,3,NORMAL,false);(25,4,NORMAL,false);(25,5,NORMAL,false);(25,6,NORMAL,false);(25,7,NORMAL,false);(25,8,NORMAL,false);(25,9,NORMAL,false);(25,10,NORMAL,false);(25,11,NORMAL,false);(25,12,NORMAL,false);(25,13,NORMAL,false);(25,14,NORMAL,false);(25,15,NORMAL,false);(25,16,NORMAL,false);(25,17,NORMAL,false);(25,18,NORMAL,false);(25,19,NORMAL,false);(25,20,NORMAL,false);(25,21,NORMAL,false);(25,22,NORMAL,false);(25,23,NORMAL,false);(25,24,NORMAL,false);(25,25,NORMAL,false);(25,26,NORMAL,false);(25,27,NORMAL,false);(25,28,NORMAL,false);(25,29,NORMAL,false);(25,30,NORMAL,false)
(26,0,NORMAL,false);(26,1,NORMAL,false);(26,2,NORMAL,false);(26,3,NORMAL,false);(26,4,NORMAL,false);(26,5,NORMAL,false);(26,6,NORMAL,false);(26,7,NORMAL,false);(26,8,NORMAL,false);(26,9,NORMAL,false);(26,10,NORMAL,false);(26,11,NORMAL,false);(26,12,NORMAL,false);(26,13,NORMAL,false);(26,14,NORMAL,false);(26,15,NORMAL,false);(26,16,NORMAL,false);(26,17,NORMAL,false);(26,18,NORMAL,false);(26,19,NORMAL,false);(26,20,NORMAL,false);(26,21,NORMAL,false);(26,22,NORMAL,false);(26,23,NORMAL,false);(26,24,NORMAL,false);(26,25,NORMAL,false);(26,26,NORMAL,false);(26,27,NORMAL,false);(26,28,NORMAL,false);(26,29,NORMAL,false);(26,30,NORMAL,false)
(27,0,NORMAL,false);(27,1,NORMAL,false);(27,2,NORMAL,false);(27,3,NORMAL,false);(27,4,NORMAL,false);(27,5,NORMAL,false);(27,6,NORMAL,false);(27,7,NORMAL,false);(27,8,NORMAL,false);(27,9,NORMAL,false);(27,10,NORMAL,false);(27,11,NORMAL,false);(27,12,NORMAL,false);(27,13,NORMAL,false);(27,14,NORMAL,false);(27,15,NORMAL,false);(27,16,NORMAL,false);(27,17,NORMAL,false);(27,18,NORMAL,false);(27,19,NORMAL,false);(27,20,NORMAL,false);(27,21,NORMAL,false);(27,22,NORMAL,false);(27,23,NORMAL,false);(27,24,NORMAL,false);(27,25,NORMAL,false);(27,26,NORMAL,false);(27,27,NORMAL,false);(27,28,NORMAL,false);(27,29,NORMAL,false);(27,30,NORMAL,false)
(28,0,NORMAL,false);(28,1,NORMAL,false);(28,2,NORMAL,false);(28,3,NORMAL,false);(28,4,NORMAL,false);(28,5,NORMAL,false);(28,6,NORMAL,false);(28,7,NORMAL,false);(28,8,NORMAL,false);(28,9,NORMAL,false);(28,10,NORMAL,false);(28,11,NORMAL,false);(28,12,NORMAL,false);(28,13,NORMAL,false);(28,14,NORMAL,false);(28,15,NORMAL,false);(28,16,NORMAL,false);(28,17,NORMAL,false);(28,18,NORMAL,false);(28,19,NORMAL,false);(28,20,NORMAL,false);(28,21,NORMAL,false);(28,22,NORMAL,false);(28,23,NORMAL,false);(28,24,NORMAL,false);(28,25,NORMAL,false);(28,26,NORMAL,false);(28,27,NORMAL,false);(28,28,NORMAL,false);(28,29,NORMAL,false);(28,30,NORMAL,false)
(29,0,NORMAL,false);(29,1,NORMAL,false);(29,2,NORMAL,false);(29,3,NORMAL,false);(29,4,NORMAL,false);(29,5,NORMAL,false);(29,6,NORMAL,false);(29,7,NORMAL,false);(29,8,NORMAL,false);(29,9,NORMAL,false);(29,10,NORMAL,false);(29,11,NORMAL,false);(29,12,NORMAL,false);(29,13,NORMAL,false);(29,14,NORMAL,false);(29,15,NORMAL,false);(29,16,NORMAL,false);(29,17,NORMAL,false);(29,18,NORMAL,false);(29,19,NORMAL,false);(29,20,NORMAL,false);(29,21,NORMAL,false);(29,22,NORMAL,false);(29,23,NORMAL,false);(29,24,NORMAL,false);(29,25,NORMAL,false);(29,26,NORMAL,false);(29,27,NORMAL,false);(29,28,NORMAL,false);(29,29,NORMAL,false);(29,30,NORMAL,false)
(30,0,NORMAL,false);(30,1,NORMAL,false);(30,2,NORMAL,false);(30,3,NORMAL,false);(30,4,NORMAL,false);(30,5,NORMAL,false);(30,6,NORMAL,false);(30,7,NORMAL,false);(30,8,NORMAL,false);(30,9,NORMAL,false);(30,10,NORMAL,false);(30,11,NORMAL,false);(30,12,NORMAL,false);(30,13,NORMAL,false);(30,14,NORMAL,false);(30,15,NORMAL,false);(30,16,NORMAL,false);(30,17,NORMAL,false);(30,18,NORMAL,false);(30,19,NORMAL,false);(30,20,NORMAL,false);(30,21,NORMAL,false);(30,22,NORMAL,false);(30,23,NORMAL,false);(30,24,NORMAL,false);(30,25,NORMAL,false);(30,26,NORMAL,false);(30,27,NORMAL,false);(30,28,NORMAL,false);(30,29,NORMAL,false);(30,30,NORMAL,false)
